1	idle	8.375	bash	6	0
1	serial	14.917	bash	6	240
1	parallel	40.583	bash	6	771
2	idle	12.792	bash	6	0
2	serial	11.500	git	6	247
2	parallel	47.083	Google	6	705
3	idle	9.000	jq	6	0
3	serial	11.542	bash	6	237
3	parallel	36.125	git	6	741
4	idle	10.125	bash	6	0
4	serial	16.167	claude	6	235
4	parallel	38.708	bash	6	686
5	idle	12.333	grep	6	0
5	serial	13.083	git	6	259
5	parallel	35.167	git	6	771
6	idle	11.000	jq	6	0
6	serial	14.833	git	6	229
6	parallel	43.667	bash	6	728
7	idle	10.667	jq	6	0
7	serial	13.833	git	6	243
7	parallel	35.833	bash	6	721
8	idle	9.542	git	6	0
8	serial	9.250	git	6	243
8	parallel	30.250	bash	6	747
9	idle	11.125	awk	6	0
9	serial	13.667	git	6	244
9	parallel	30.917	git	6	684
10	idle	12.750	footprint	6	0
10	serial	15.208	git	6	223
10	parallel	45.208	bash	6	651
11	idle	11.458	Python	6	0
11	serial	14.000	git	6	242
11	parallel	45.792	Google	6	3010
12	idle	8.917	git	6	0
12	serial	13.000	git	6	250
12	parallel	34.083	bash	6	752
13	idle	11.167	git	6	0
13	serial	11.333	git	6	240
13	parallel	32.542	bash	6	777
14	idle	7.125	jq	6	0
14	serial	10.542	git	6	240
14	parallel	31.667	bash	6	704
15	idle	9.167	git	6	0
15	serial	10.083	git	6	243
15	parallel	32.375	bash	6	745
16	idle	9.292	npm	6	0
16	serial	13.167	bash	6	244
16	parallel	37.667	bash	6	741
17	idle	11.917	bash	6	0
17	serial	13.833	git	6	244
17	parallel	41.292	bash	6	703
18	idle	10.333	bash	6	0
18	serial	11.042	git	6	240
18	parallel	29.708	bash	6	726
19	idle	7.958	Python	6	0
19	serial	11.333	git	6	231
19	parallel	39.167	bash	6	709
20	idle	13.000	bash	6	0
20	serial	13.750	git	6	244
20	parallel	45.625	Google	6	708
